timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
2770736053,2770735549,-0.9801393,-0.051256556,-0.0033469165,0.19154239,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2770741188,2770740812,-0.9801395,-0.051257964,-0.0033454597,0.19154112,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2770786023,2770785643,-0.98013985,-0.051254075,-0.00333103,0.19154061,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2770830992,2770830641,-0.98013914,-0.051254824,-0.0033217152,0.19154453,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2770886021,2770885642,-0.98011065,-0.051343784,-0.0032873328,0.19166665,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2770936037,2770935641,-0.9801162,-0.051318325,-0.0033636547,0.19164383,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2770989728,2770985855,-0.9801464,-0.051299445,-0.0034787883,0.19149241,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2771035989,2771035519,-0.98009616,-0.051179424,-0.0035001098,0.19178075,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2771086035,2771085667,-0.9801785,-0.051269736,-0.0034780356,0.1913364,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2771139816,2771135814,-0.9800896,-0.051374424,-0.0033932063,0.19176461,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2771186032,2771185558,-0.9801672,-0.051358387,-0.0033450313,0.19137225,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2771236033,2771235644,-0.9801047,-0.051256537,-0.0033638559,0.19171952,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2771280972,2771280642,-0.9801482,-0.05133593,-0.003359936,0.19147603,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2771335948,2771335645,-0.9801119,-0.051369373,-0.003266676,0.19165389,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2771386011,2771385642,-0.9801422,-0.051392414,-0.0032338456,0.19149351,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2771431047,2771430559,-0.9801318,-0.051357012,-0.003224885,0.19155665,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2771486007,2771485642,-0.98013306,-0.05141521,-0.0032819095,0.19153318,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2771536060,2771535556,-0.98012537,-0.051372405,-0.003231888,0.19158489,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2771586126,2771585779,-0.98011386,-0.05144006,-0.003258195,0.19162512,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2771641034,2771640663,-0.98012257,-0.051426023,-0.0032607114,0.19158459,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2771686033,2771685535,-0.98010576,-0.051451996,-0.0032841319,0.19166297,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2771736126,2771735734,-0.980137,-0.051356167,-0.0032588444,0.19152927,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2771785978,2771785641,-0.98012793,-0.051208965,-0.003053984,0.1916182,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2771836014,2771835642,-0.9801434,-0.051134486,-0.0031916215,0.1915569,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2771886110,2771885727,-0.9801346,-0.051136333,-0.0033326321,0.19159892,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2771935985,2771935641,-0.98014456,-0.051210973,-0.0034565206,0.19152613,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
